,year,total_non_current_assets,total_current_assets,total_assets,total_non_current_liabilities,total_current_liabilities,total_liabilities,retained_earnings,profit_before_tax,finance_cost
0,2015, 358469, 137549, 496018, 149604, 134381, 283985, 3259, 31114, 3316
1,2016, 471212, 127785, 598997, 178931, 185154, 364085, 4480, 38737, 3691
2,2017, 565526, 146813, 712339, 210398, 235315, 445713, 9273, 40034, 3849
3,2018, 632562, 183786, 816348, 205451, 313852, 519303, 11840, 49426, 8052
4,2019, 770353, 232053, 1002406, 289692, 317322, 607014, 12330, 55227, 16495
5,2020, 907655, 258260, 1165915, 291652, 412916, 704568, 32972, 53606, 22027
6,2021, 948201, 373011, 1321212, 244212, 277568, 521780, 196059, 55461, 21189
7,2022, 1152646, 347019, 1499665, 302019, 308662, 610681, 247951, 54142, 14584
8,2023, 1182135, 425296, 1607431, 382807, 395743, 778550, 295739, 94046, 19571
9,2024, 1285886, 470100, 1755986, 432831, 397367, 830198, 339787, 104727, 23118
